sclht,dense,abund,chi
0.1,50000000000.0,1.0,0.3955595447012368
0.1,50000000000.0,1.0,0.3955595447012368
0.1,50000000000.0,3.0,0.3932731557680801
0.1,50000000000.0,5.0,0.3910692524502765
0.1,50000000000.0,7.0,0.3889440736663415
0.1,50000000000.0,9.0,0.3868940655384362
0.1,50000000000.0,11.0,0.3849158674781326
0.1,100000000000.0,1.0,0.3951424038514505
0.1,100000000000.0,3.0,0.3926136166603594
0.1,100000000000.0,5.0,0.3901931846588586
0.1,100000000000.0,7.0,0.387874846668615
0.1,100000000000.0,9.0,0.3856528008229676
0.1,100000000000.0,11.0,0.383521661649025
0.1,150000000000.0,1.0,0.3947440374256535
0.1,150000000000.0,3.0,0.3919856340842446
0.1,150000000000.0,5.0,0.389366612050394
0.1,150000000000.0,7.0,0.3868768936664166
0.1,150000000000.0,9.0,0.3845073453320313
0.1,150000000000.0,11.0,0.3822496733769169
0.1,250000000000.0,1.0,0.3939967892292659
0.1,250000000000.0,3.0,0.3908138137248257
0.1,250000000000.0,5.0,0.3878448522793377
0.1,250000000000.0,7.0,0.3850677062774181
0.1,250000000000.0,9.0,0.3824631811455233
0.1,250000000000.0,11.0,0.3800146087452453
0.1,400000000000.0,1.0,0.3929789023967002
0.1,400000000000.0,3.0,0.3892343505732066
0.1,400000000000.0,5.0,0.3858384598164943
0.1,400000000000.0,7.0,0.3827389510879964
0.1,400000000000.0,9.0,0.379893581361901
0.1,400000000000.0,11.0,0.3772679297082768
0.1,650000000000.0,1.0,0.3914901126180634
0.1,650000000000.0,3.0,0.3869719979929922
0.1,650000000000.0,5.0,0.3830594393084526
0.1,650000000000.0,7.0,0.3796204678556018
0.1,650000000000.0,9.0,0.3765589233913855
0.1,650000000000.0,11.0,0.373803484135128
0.1,1050000000000.0,1.0,0.3894769501115641
0.1,1050000000000.0,3.0,0.3840351066762977
0.1,1050000000000.0,5.0,0.3796249356584011
0.1,1050000000000.0,7.0,0.3759327212175435
0.1,1050000000000.0,9.0,0.3727605425105472
0.1,1050000000000.0,11.0,0.3699786243633072
0.1,1700000000000.0,1.0,0.3868079065459623
0.1,1700000000000.0,3.0,0.3804088653659143
0.1,1700000000000.0,5.0,0.3756463305108566
0.1,1700000000000.0,7.0,0.3718630493340276
0.1,1700000000000.0,9.0,0.3687153279764915
0.1,1700000000000.0,11.0,0.3660081632086308
0.1,2750000000000.0,1.0,0.3834364472467795
0.1,2750000000000.0,3.0,0.3762799559349167
0.1,2750000000000.0,5.0,0.3714128362470452
0.1,2750000000000.0,7.0,0.3677021048197911
0.1,2750000000000.0,9.0,0.3646692557308448
0.1,2750000000000.0,11.0,0.3620785589476136
0.1,4450000000000.0,1.0,0.3794163652050842
0.1,4450000000000.0,3.0,0.3719061782549595
0.1,4450000000000.0,5.0,0.3671447773938168
0.1,4450000000000.0,7.0,0.3635717937625932
0.1,4450000000000.0,9.0,0.3606509553772979
0.1,4450000000000.0,11.0,0.3581460401019128
0.3,50000000000.0,1.0,0.3875079335243017
0.3,50000000000.0,3.0,0.3723962492355673
0.3,50000000000.0,5.0,0.3586269980071078
0.3,50000000000.0,7.0,0.3460115397260631
0.3,50000000000.0,9.0,0.3343979307310469
0.3,50000000000.0,11.0,0.3236622303970067
0.3,100000000000.0,1.0,0.3808937027535425
0.3,100000000000.0,3.0,0.3625808127962422
0.3,100000000000.0,5.0,0.3467582789588966
0.3,100000000000.0,7.0,0.3328386931966582
0.3,100000000000.0,9.0,0.3204217418536738
0.3,100000000000.0,11.0,0.3092243445316661
0.3,150000000000.0,1.0,0.3753345075480067
0.3,150000000000.0,3.0,0.3546964596386555
0.3,150000000000.0,5.0,0.3376607189457424
0.3,150000000000.0,7.0,0.3231244017410298
0.3,150000000000.0,9.0,0.3104286723353599
0.3,150000000000.0,11.0,0.2991526465102858
0.3,250000000000.0,1.0,0.3661493459732587
0.3,250000000000.0,3.0,0.3424542237671579
0.3,250000000000.0,5.0,0.3241841535244744
0.3,250000000000.0,7.0,0.3091937790109279
0.3,250000000000.0,9.0,0.2964193400479945
0.3,250000000000.0,11.0,0.2852606708638507
0.3,400000000000.0,1.0,0.3553607948238517
0.3,400000000000.0,3.0,0.3291953609832883
0.3,400000000000.0,5.0,0.3102522928927812
0.3,400000000000.0,7.0,0.2951799964972378
0.3,400000000000.0,9.0,0.2825656017611506
0.3,400000000000.0,11.0,0.2716797226563309
0.3,650000000000.0,1.0,0.3419761151853736
0.3,650000000000.0,3.0,0.3140035877447528
0.3,650000000000.0,5.0,0.2948225057476734
0.3,650000000000.0,7.0,0.2799259832987046
0.3,650000000000.0,9.0,0.2676413923523357
