sclht,dense,abund,chi
0.5,1050000000000.0,5.0,0.1562941976611597
0.5,1050000000000.0,7.0,0.1384237085568261
0.5,1050000000000.0,9.0,0.1258987061693312
0.5,1050000000000.0,11.0,0.1168812302469389
0.5,1050000000000.0,13.0,0.1103462914272654
0.5,1050000000000.0,15.0,0.1056572324680807
0.5,1050000000000.0,17.0,0.1023883334320501
0.5,1700000000000.0,5.0,0.1360288534420544
0.5,1700000000000.0,7.0,0.1218037497080929
0.5,1700000000000.0,9.0,0.1125063277752633
0.5,1700000000000.0,11.0,0.1063595876819318
0.5,1700000000000.0,13.0,0.1023905919092298
0.5,1700000000000.0,15.0,0.1000046593790102
0.5,1700000000000.0,17.0,0.0988099657153866
0.5,2750000000000.0,5.0,0.1193890700021119
0.5,2750000000000.0,7.0,0.1091744836183607
0.5,2750000000000.0,9.0,0.103313926661593
0.5,2750000000000.0,11.0,0.1001517210607323
0.5,2750000000000.0,13.0,0.0987992521128693
0.5,2750000000000.0,15.0,0.0987231604550277
0.5,2750000000000.0,17.0,0.0995780225619421
0.5,4450000000000.0,5.0,0.1071969154880758
0.5,4450000000000.0,7.0,0.1012830419983091
0.5,4450000000000.0,9.0,0.0990013470440781
0.5,4450000000000.0,11.0,0.0988757687093687
0.5,4450000000000.0,13.0,0.1001332546716386
0.5,4450000000000.0,15.0,0.1023204689306543
0.5,4450000000000.0,17.0,0.1051504445763343
0.5,7200000000000.0,5.0,0.1002514311954545
0.5,7200000000000.0,7.0,0.0988274293042119
0.5,7200000000000.0,9.0,0.1001753148558267
0.5,7200000000000.0,11.0,0.1030547967939854
0.5,7200000000000.0,13.0,0.1068383774930626
0.5,7200000000000.0,15.0,0.1111706556520998
0.5,7200000000000.0,17.0,0.1158346409657817
0.5,11650000000000.0,5.0,0.0992132445350553
0.5,11650000000000.0,7.0,0.102349381634411
0.5,11650000000000.0,9.0,0.1072689031926669
0.5,11650000000000.0,11.0,0.1130217349781855
0.5,11650000000000.0,13.0,0.1191551535890914
0.5,11650000000000.0,15.0,0.1254291642161877
0.5,11650000000000.0,17.0,0.1317079270843245
0.5,18850000000000.0,5.0,0.1045665098400963
0.5,18850000000000.0,7.0,0.1121734470803644
0.5,18850000000000.0,9.0,0.1204620903873666
0.5,18850000000000.0,11.0,0.1288261543557145
0.5,18850000000000.0,13.0,0.1370162243602507
0.5,18850000000000.0,15.0,0.1449243441135578
0.5,18850000000000.0,17.0,0.152506030684207
