Title: The Transit Light Curve Project. V. System Parameters and Stellar 
       Rotation Period of HD 189733  
Authors: Winn J.N., Holman M.J., Henry G.W., Roussanova A., Enya K., Yoshii Y.,
         Shporer A., Mazeh T., Johnson .A., Narita N., Suto Y. 
Table: Photometry of HD 189733
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 12 A12    ---     Tele    Telescope 
  14- 20 A7     ---     Filter  Filter 
  22- 34 F13.5  d       HJD     Heliocentric Julian Date of mid-exposure
  36- 41 F6.4   ---     RFlux   Relative flux 
  43- 48 F6.4   ---   e_RFlux   Uncertainty in RFlux
--------------------------------------------------------------------------------
FLWO 1.2m    z       2453937.71893 1.0037 0.0027 
FLWO 1.2m    z       2453937.71909 0.9963 0.0027 
FLWO 1.2m    z       2453937.71925 1.0007 0.0027 
FLWO 1.2m    z       2453937.71941 0.9995 0.0027 
FLWO 1.2m    z       2453937.71959 1.0004 0.0027 
FLWO 1.2m    z       2453937.71975 1.0014 0.0027 
FLWO 1.2m    z       2453937.71991 1.0004 0.0027 
FLWO 1.2m    z       2453937.72007 1.0023 0.0027 
FLWO 1.2m    z       2453937.72026 0.9988 0.0027 
FLWO 1.2m    z       2453937.72043 0.9985 0.0027 
FLWO 1.2m    z       2453937.72060 0.9988 0.0027 
FLWO 1.2m    z       2453937.72077 1.0025 0.0027 
FLWO 1.2m    z       2453937.72094 0.9960 0.0027 
FLWO 1.2m    z       2453937.72110 1.0039 0.0027 
FLWO 1.2m    z       2453937.72129 0.9941 0.0027 
FLWO 1.2m    z       2453937.72145 0.9977 0.0027 
FLWO 1.2m    z       2453937.72161 0.9987 0.0027 
FLWO 1.2m    z       2453937.72179 1.0004 0.0027 
FLWO 1.2m    z       2453937.72195 0.9968 0.0027 
FLWO 1.2m    z       2453937.72211 1.0018 0.0027 
FLWO 1.2m    z       2453937.72227 0.9996 0.0027 
FLWO 1.2m    z       2453937.72243 0.9985 0.0027 
FLWO 1.2m    z       2453937.72261 0.9992 0.0027 
FLWO 1.2m    z       2453937.72278 1.0043 0.0027 
FLWO 1.2m    z       2453937.72294 0.9979 0.0027 
FLWO 1.2m    z       2453937.72312 0.9991 0.0027 
FLWO 1.2m    z       2453937.72328 1.0012 0.0027 
FLWO 1.2m    z       2453937.72344 1.0020 0.0027 
FLWO 1.2m    z       2453937.72360 1.0001 0.0027 
FLWO 1.2m    z       2453937.72382 1.0003 0.0027 
FLWO 1.2m    z       2453937.72415 1.0029 0.0027 
FLWO 1.2m    z       2453937.72431 0.9990 0.0027 
FLWO 1.2m    z       2453937.72448 1.0009 0.0027 
FLWO 1.2m    z       2453937.72464 1.0018 0.0027 
FLWO 1.2m    z       2453937.72481 0.9993 0.0027 
FLWO 1.2m    z       2453937.72497 1.0026 0.0026 
FLWO 1.2m    z       2453937.72513 1.0029 0.0026 
FLWO 1.2m    z       2453937.72529 0.9996 0.0026 
FLWO 1.2m    z       2453937.72547 0.9991 0.0026 
FLWO 1.2m    z       2453937.72563 0.9992 0.0026 
FLWO 1.2m    z       2453937.72581 1.0001 0.0026 
FLWO 1.2m    z       2453937.72597 0.9955 0.0026 
FLWO 1.2m    z       2453937.72616 0.9996 0.0026 
FLWO 1.2m    z       2453937.72632 1.0051 0.0026 
FLWO 1.2m    z       2453937.72651 1.0006 0.0026 
FLWO 1.2m    z       2453937.72667 0.9980 0.0026 
FLWO 1.2m    z       2453937.72684 0.9996 0.0026 
FLWO 1.2m    z       2453937.72702 0.9957 0.0026 
FLWO 1.2m    z       2453937.72719 0.9980 0.0026 
FLWO 1.2m    z       2453937.72735 0.9982 0.0026 
FLWO 1.2m    z       2453937.72751 0.9976 0.0026 
FLWO 1.2m    z       2453937.72768 0.9976 0.0026 
FLWO 1.2m    z       2453937.72785 1.0004 0.0026 
FLWO 1.2m    z       2453937.72801 0.9992 0.0026 
FLWO 1.2m    z       2453937.72817 1.0005 0.0026 
FLWO 1.2m    z       2453937.72834 0.9976 0.0026 
FLWO 1.2m    z       2453937.72850 1.0001 0.0026 
FLWO 1.2m    z       2453937.72867 1.0037 0.0026 
